# rice benchmark results: M6-context-pooling
# date: 2026-09-17T18:23:46Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkTreeLookup10-12             	28904750	        41.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	28992685	        41.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	28923879	        41.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	28991342	        41.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	29049594	        41.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26940964	        44.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26765325	        44.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26977658	        44.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26972100	        44.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26955615	        44.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26965256	        44.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26956270	        44.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26960031	        44.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26702194	        44.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup100-12            	26970357	        44.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25078915	        47.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25171039	        47.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25136614	        47.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25177950	        47.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25154222	        47.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25181406	        47.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25143066	        47.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25192816	        47.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25187551	        47.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1000-12           	25178522	        47.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1Param-12         	28480983	        42.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1Param-12         	28501023	        42.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1Param-12         	28491634	        42.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1Param-12         	28423276	        42.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1Param-12         	28295574	        42.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1Param-12         	28462209	        42.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup1Param-12         	28319697	        42.18 ns/op	       0 B/op	       0 allocs/op
