# rice benchmark results: M8-compare-handler
# date: 2026-09-19T03:54:28Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro
# power: 'Battery Power'
# rice: b131556 (local, via replace)
# github.com/gin-gonic/gin v1.12.0
# github.com/labstack/echo/v5 v5.3.1
# github.com/gofiber/fiber/v3 v3.5.0
# github.com/valyala/fasthttp v1.73.0

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench/compare
cpu: Apple M2 Pro
BenchmarkHandler/notfound/fiber-12      	 8912972	       134.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 9084358	       133.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8892628	       133.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8878322	       134.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8927826	       134.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10150459	       118.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10292437	       118.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10175667	       116.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10234293	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10046790	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10104460	       118.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10051899	       122.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	 9977476	       119.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	 9979158	       119.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/rice-12      	10134846	       118.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8966372	       132.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8858796	       134.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 9017271	       132.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 9046615	       133.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8778177	       135.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8782975	       134.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8895790	       134.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8804167	       133.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8854634	       133.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/gin-12       	 8815390	       134.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6817424	       175.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6782973	       176.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6683647	       177.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6764422	       176.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6708162	       177.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6721302	       178.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6799126	       177.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6627393	       179.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6805858	       177.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/echo-12      	 6760735	       176.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1759761	       680.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1757359	       685.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1763845	       676.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1769245	       694.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1717138	       680.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1751804	       680.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1776244	       673.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1775086	       682.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1733149	       677.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/githubapi/fiber-12     	 1756768	       683.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/json/rice-12           	 5483080	       218.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5508303	       216.5 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5524869	       217.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5458264	       216.7 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5516380	       215.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5526465	       216.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5567594	       217.2 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5533866	       218.5 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5524113	       216.9 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/rice-12           	 5581262	       214.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/gin-12            	 4942976	       242.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4890078	       242.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4937614	       244.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4860326	       244.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4893088	       250.2 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4767756	       255.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4779876	       242.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4838142	       255.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4703596	       242.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/gin-12            	 4953888	       241.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkHandler/json/echo-12           	 4369954	       272.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4346131	       268.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4337786	       271.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4431464	       270.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4453990	       270.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4379460	       269.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4377435	       267.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4379437	       269.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4375658	       271.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/echo-12           	 4346398	       271.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5379981	       223.9 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5391175	       223.1 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5295879	       225.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5328098	       225.2 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5366162	       225.5 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5229919	       225.1 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5376243	       225.4 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5339253	       226.1 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5292768	       225.1 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/json/fiber-12          	 5324198	       225.2 ns/op	      96 B/op	       2 allocs/op
BenchmarkHandler/body64k/rice-12        	18030549	        68.85 ns/op	       5 B/op	       1 allocs/op
BenchmarkHandler/body64k/rice-12        	17299572	        68.89 ns/op	       5 B/op	       1 allocs/op
BenchmarkHandler/body64k/rice-12        	17502162	        67.96 ns/op	       5 B/op	       1 allocs/op
BenchmarkHandler/body64k/rice-12        	17684833	        67.69 ns/op	       5 B/op	       1 allocs/op
BenchmarkHandler/body64k/rice-12        	17660714	        67.96 ns/op	       5 B/op	       1 allocs/op
BenchmarkHandler/body64k/rice-12        	17984408	        67.24 ns/op	       5 B/op	       1 allocs/op
BenchmarkHandler/body64k/rice-12        	17910648	        67.58 ns/op	       5 B/op	       1 allocs/op
BenchmarkHandler/body64k/rice-12        	17599102	        69.87 ns/op	       5 B/op	       1 allocs/op
